location,topics
"Minneapolis, MN","['c++', 'python', 'c', 'algorithm', 'windows', 'winapi']"
Belgium,"['javascript', 'algorithm', 'arrays', 'jquery', 'python', 'php']"
"Boulder, CO, USA","['scala', 'functional-programming', 'java', 'scala-collections', 'scala-2.8', 'types']"
"Melbourne, Australia","['.net', 'c#', 'javascript', 'wpf', 'html', 'visual-studio']"
"Perth, Western Australia","['sql-server', 'c#', 'tsql', 'sql-server-2008', 'sql', '.net']"
United Kingdom,"['php', 'html', 'javascript', 'mysql', 'sql', 'arrays']"
"Pittsburgh, PA, United States","['python', 'list', 'python-3.x', 'dictionary', 'numpy', 'gnuplot']"
"Boulder, CO","['javascript', 'ruby', 'html', 'svg', 'canvas', 'css']"
"Piedmont, CA","['sql', 'c', 'performance', 'python', 'c++', 'oracle']"
"Brighton, UK","['django', 'python', 'django-models', 'django-views', 'django-templates', 'python-3.x']"
"Seattle, WA, United States","['java', 'spring-mvc', 'spring', 'maven', 'maven-2', 'hibernate']"
"Melbourne, Victoria, Australia","['python', 'string', 'list', 'dictionary', 'python-3.x', 'sorting']"
"Tel Aviv, Israel","['java', 'sql', 'select', 'mysql', 'python', 'oracle']"
"Bucharest, Romania","['sql-server', 'sql', 'tsql', 'sql-server-2005', 'c#', 'sql-server-2008']"
127.0.0.1,"['firebase', 'google-cloud-firestore', 'google-cloud-functions', 'javascript', 'android', 'firebase-realtime-database']"
,"['java', 'date', 'datetime', 'timezone', 'time', 'android']"
USA,"['python', 'jquery', 'javascript', 'html', 'css', 'python-3.x']"
"Chennai, India","['git', 'powershell', 'github', 'c#', 'python', 'svn']"
"Paris, France","['c#', 'wpf', '.net', 'linq', 'xaml', 'winforms']"
Italy,"['android', 'android-jetpack-compose', 'material-components-android', 'gradle', 'android-gradle-plugin', 'material-design']"
,"['java', 'swing', 'jframe', 'jpanel', 'user-interface', 'jbutton']"
"Amsterdam, Netherlands","['c++', 'rust', 'c++11', 'c', 'templates', 'stl']"
Berlin,"['java', 'java-8', 'java-stream', 'lambda', 'jvm', 'multithreading']"
"San Diego, CA, USA","['pandas', 'python', 'dataframe', 'numpy', 'python-3.x', 'pandas-groupby']"
,"['c++', 'c++11', 'c++17', 'templates', 'c++20', 'language-lawyer']"
"Raleigh, NC","['swift', 'ios', 'objective-c', 'iphone', 'xcode', 'cocoa']"
United Kingdom,"['ruby-on-rails', 'ruby', 'asp.net-mvc', 'clojure', 'java', 'macos']"
"Houston, TX","['c++', 'c#', 'c', 'c++11', '.net', 'windows']"
"Philadelphia, PA","['java', 'javascript', 'python', 'c#', 'c', 'php']"
"Düsseldorf, Germany","['python', 'json', 'php', 'list', 'javascript', 'html']"
"Oxford, United Kingdom","['c++', 'c', 'c++11', 'algorithm', 'stl', 'python']"
"Chicago, IL","['bash', 'shell', 'linux', 'python', 'unix', 'sh']"
,"['java', 'spring', 'spring-mvc', 'json', 'jackson', 'generics']"
"Matthews, NC","['sql-server', 'sql', 'tsql', 'sql-server-2008', 'sql-server-2005', 'sql-server-2008-r2']"
"Houston, TX","['python', 'matplotlib', 'numpy', 'scipy', 'arrays', 'plot']"
Israel,"['javascript', 'promise', 'node.js', 'bluebird', 'asynchronous', 'q']"
"Hertford, United Kingdom","['python', 'css', 'html', 'c++', 'javascript', 'c']"
"London, United Kingdom","['java', 'bash', 'linux', 'shell', 'string', 'c#']"
San Francisco Bay Area,"['javascript', 'php', 'c#', 'jquery', 'html', 'python']"
"Minneapolis, MN","['php', 'mysql', 'javascript', 'sql', 'html', '.htaccess']"
,"['bash', 'linux', 'shell', 'grep', 'unix', 'awk']"
"London, United Kingdom","['c++', 'c', 'java', 'arrays', 'pointers', 'matlab']"
"St. Gallen, Switzerland","['swift', 'ios', 'swift3', 'json', 'xcode', 'arrays']"
Florida,"['jquery', 'javascript', 'css', 'html', 'php', 'mysql']"
United States,"['java', 'security', 'encryption', 'cryptography', 'generics', 'aes']"
Catalonia,"['javascript', 'css', 'html', 'arrays', 'flexbox', 'ecmascript-6']"
"London, United Kingdom","['bash', 'java', 'shell', 'linux', 'unix', 'regex']"
"London, UK","['javascript', 'redux', 'reactjs', 'create-react-app', 'c#', '.net']"
"London, United Kingdom","['reactjs', 'javascript', 'react-hooks', 'react-router', 'redux', 'react-redux']"
"Cardiff, United Kingdom","['c#', '.net', 'sql', 'string', 'sql-server', 'linq']"
,"['c#', '.net', 'multithreading', 'blazor', 'winforms', 'asp.net']"
http://ali.actor,"['jquery', 'javascript', 'php', 'java', 'mysql', 'ajax']"
California,"['python', 'c', 'c++', 'llvm', 'algorithm', 'go']"
"Alameda, CA","['r', 'dataframe', 'plot', 'ggplot2', 'matrix', 'data.table']"
Canada,"['c++', 'c++11', 'templates', 'c++17', 'c++14', 'lambda']"
"Dipolog, Philippines","['sql', 'mysql', 'sql-server', 'php', 'tsql', 'c#']"
France,"['jquery', 'javascript', 'python', 'c#', 'c++', 'html']"
blankville,"['ruby-on-rails', 'java', 'scala', 'ruby', 'javascript', 'python']"
"Karachi, Pakistan","['javascript', 'jquery', 'php', 'css', 'sql', 'html']"
,"['java', 'python', 'linux', 'html', 'spring', 'hibernate']"
Singapore,"['java', 'oracle', 'sql', 'mongodb', 'javascript', 'multithreading']"
"Seattle, WA","['c++', 'c', 'stl', 'pointers', 'templates', 'arrays']"
Germany,"['c++', 'c++11', 'c', 'pointers', 'arrays', 'vector']"
,"['docker', 'git', 'python', 'ansible', 'bash', 'linux']"
"Bucharest, Romania","['c++', 'c', 'pointers', 'class', 'constructor', 'inheritance']"
,"['python', 'django', 'mysql', 'database', 'html', 'jquery']"
"Melbourne, Australia","['typescript', 'javascript', 'node.js', 'reactjs', 'angular', 'angularjs']"
"San Diego, CA","['c', 'c++', 'bash', 'gcc', 'linux', 'shell']"
,"['python', 'python-3.x', 'numpy', 'java', 'python-2.7', 'arrays']"
United Kingdom,"['c++', 'c++11', 'c', 'pointers', 'vector', 'stl']"
"Wellington, New Zealand","['php', 'mysql', 'javascript', 'sql', 'arrays', 'jquery']"
"Cambridge, United Kingdom","['css', 'html', 'jquery', 'javascript', 'jquery-selectors', 'css-selectors']"
,"['r', 'dplyr', 'dataframe', 'regex', 'time-series', 'date']"
USA,"['python', 'ruby', 'c#', 'bash', 'c', 'c++']"
ZZ9 Plural Z Alpha,"['objective-c', 'ios', 'iphone', 'cocoa', 'core-data', 'cocoa-touch']"
"Windsor, ON, Canada","['c#', '.net', 'sql-server', 'windows', 'delphi', 'uac']"
,"['c++', 'c', 'performance', 'c#', 'templates', 'stl']"
"Bellefonte, PA, USA","['c#', '.net', 'javascript', 'linq', 'java', 'asp.net']"
Arizona,"['sql', 'sql-server', 'sql-server-2008', 'pivot', 'mysql', 'tsql']"
Toronto,"['python', 'list', 'string', 'dictionary', 'python-3.x', 'python-2.7']"
United States,"['xslt', 'xml', 'xpath', 'xslt-1.0', 'xslt-2.0', 'c#']"
"Prague, Czechia","['f#', 'c#', '.net', 'functional-programming', 'asynchronous', 'list']"
"Paris, France","['flutter', 'dart', 'flutter-layout', 'android', 'ios', 'widget']"
"Moscow, Russia","['java', 'spring', 'hibernate', 'jpa', 'spring-mvc', 'spring-security']"
"Santa Barbara, CA","['python', 'pandas', 'numpy', 'dictionary', 'python-3.x', 'python-2.7']"
,"['java', 'date', 'jsp', 'maven', 'jsf', 'servlets']"
"Austin, TX, USA","['c#', '.net', 'winforms', 'windows', 'c++', 'visual-studio']"
United Kingdom,"['typescript', 'javascript', 'jquery', 'c#', 'html', 'css']"
,"['c#', '.net', 'linq', 'algorithm', 'generics', 'string']"
"Lafayette, CO, United States","['jquery', 'javascript', 'ruby', 'ruby-on-rails', 'mongoid', 'twitter']"
"Ottawa, Canada","['bash', 'shell', 'awk', 'linux', 'sed', 'unix']"
"England, United Kingdom","['python', 'css', 'php', 'django', 'javascript', 'jquery']"
,"['ruby', 'objective-c', 'javascript', 'iphone', 'cocoa', 'ruby-on-rails']"
